,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title
0,San Cristóbal,64.0,2,1.0,3,85000,0.0,1.0,0.0,0,"calle de Godella, 64, San Cristóbal, Madrid"
1,Los Ángeles,70.0,3,1.0,4,129900,1.0,1.0,1.0,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid"
2,San Andrés,94.0,2,2.0,1,144247,1.0,1.0,0.0,0,"calle del Talco, 68, San Andrés, Madrid"
3,San Andrés,64.0,2,1.0,0,109900,1.0,1.0,0.0,0,"calle Pedro Jiménez, San Andrés, Madrid"
4,Los Rosales,108.0,2,2.0,4,260000,1.0,1.0,0.0,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid"
5,San Andrés,126.0,4,2.0,3,195000,0.0,1.0,1.0,1,"geologia, San Andrés, Madrid"
6,San Andrés,120.0,5,2.0,1,190000,0.0,1.0,1.0,1,"avenida Real de Pinto, San Andrés, Madrid"
7,Villaverde,125.0,3,2.0,2,198500,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
9,Los Rosales,85.0,2,1.0,7,131400,0.0,1.0,1.0,0,"calle de Martinez Oviol, Los Rosales, Madrid"
10,San Andrés,69.0,2,2.0,2,118000,0.0,1.0,1.0,0,"De la Plata - Villaverde, San Andrés, Madrid"
12,Los Rosales,123.0,3,2.0,4,195000,1.0,1.0,0.0,0,"calle de la Unanimidad, 67, Los Rosales, Madrid"
13,Los Ángeles,109.0,3,2.0,3,205000,1.0,1.0,1.0,0,"calle de Anoeta, 63, Los Ángeles, Madrid"
14,San Cristóbal,64.0,3,1.0,3,72000,0.0,1.0,1.0,0,"calle GODELLA, San Cristóbal, Madrid"
16,Villaverde,115.0,3,1.0,1,184900,0.0,1.0,1.0,0,"Los Rosales, Villaverde, Madrid"
17,Villaverde,65.0,3,1.0,4,90000,0.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
18,Villaverde,75.0,3,1.0,3,129900,1.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
19,Villaverde,60.0,2,1.0,0,94900,0.0,1.0,0.0,0,"San Cristóbal, Villaverde, Madrid"
20,Villaverde,60.0,2,1.0,2,89900,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
21,Villaverde,95.0,4,2.0,4,144900,0.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid"
22,Villaverde,76.0,3,1.0,2,110000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
26,San Andrés,75.0,3,1.0,3,138000,0.0,1.0,1.0,1,"COBALTO s/n, San Andrés, Madrid"
27,Villaverde,112.0,4,2.0,2,280000,1.0,1.0,0.0,1,"Butarque, Villaverde, Madrid"
28,Los Rosales,65.0,3,1.0,1,150000,1.0,1.0,0.0,0,"calle Villajoyosa, Los Rosales, Madrid"
29,San Andrés,70.0,2,1.0,3,145900,0.0,1.0,1.0,0,"paseo de Alberto Palacios, San Andrés, Madrid"
30,San Andrés,75.0,1,1.0,1,92500,1.0,1.0,0.0,0,"calle Laguna del Marquesado, San Andrés, Madrid"
31,Los Rosales,123.0,3,2.0,7,298000,1.0,1.0,0.0,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid"
33,Villaverde,72.0,2,1.0,3,138000,0.0,1.0,0.0,1,"San Andrés, Villaverde, Madrid"
34,Butarque,61.0,3,1.0,5,100000,0.0,1.0,0.0,0,"Concepción de la Oliva, 21, Butarque, Madrid"
35,San Andrés,71.0,3,1.0,1,131400,0.0,1.0,1.0,0,"San Neviano - Villaverde, San Andrés, Madrid"
36,Villaverde,87.0,3,1.0,2,96000,0.0,1.0,1.0,0,"Los Rosales, Villaverde, Madrid"
