,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
0,San Cristóbal,64.0,2,1.0,3,85000,0.0,1.0,0.0,0,"calle de Godella, 64, San Cristóbal, Madrid",4.465004022526147,7.052096569250318,2.578996282527881,0.9003893575600259
1,Los Ángeles,70.0,3,1.0,4,129900,1.0,1.0,1.0,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",6.632341110217216,10.475222363405337,3.8308550185873607,1.337443218689163
2,San Andrés,94.0,2,2.0,1,144247,1.0,1.0,0.0,0,"calle del Talco, 68, San Andrés, Madrid",7.3248753016894605,11.569021601016518,4.2308643122676575,1.4770960415314731
3,San Andrés,64.0,2,1.0,0,109900,1.0,1.0,0.0,0,"calle Pedro Jiménez, San Andrés, Madrid",5.666934835076428,8.950444726810673,3.2732342007434942,1.1427644386761844
4,Los Rosales,108.0,2,2.0,4,260000,1.0,1.0,0.0,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",12.912308930008045,20.393900889453622,7.45817843866171,2.6038286826735884
5,San Andrés,126.0,4,2.0,3,195000,0.0,1.0,1.0,1,"geologia, San Andrés, Madrid",9.774738535800482,15.438373570520966,5.645910780669145,1.971122647631408
6,San Andrés,120.0,5,2.0,1,190000,0.0,1.0,1.0,1,"avenida Real de Pinto, San Andrés, Madrid",9.533386967015286,15.0571791613723,5.506505576208179,1.9224529526281635
7,Villaverde,125.0,3,2.0,2,198500,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid",9.94368463395012,15.705209656925032,5.743494423791821,2.0051914341336796
8,Los Rosales,85.0,2,1.0,7,131400,0.0,1.0,1.0,0,"calle de Martinez Oviol, Los Rosales, Madrid",6.704746580852776,10.589580686149937,3.8726765799256504,1.3520441271901362
9,San Andrés,69.0,2,2.0,2,118000,0.0,1.0,1.0,0,"De la Plata - Villaverde, San Andrés, Madrid",6.057924376508447,9.567979669631512,3.4990706319702602,1.2216093445814407
10,Los Rosales,123.0,3,2.0,4,195000,1.0,1.0,0.0,0,"calle de la Unanimidad, 67, Los Rosales, Madrid",9.774738535800482,15.438373570520966,5.645910780669145,1.971122647631408
11,Los Ángeles,109.0,3,2.0,3,205000,1.0,1.0,1.0,0,"calle de Anoeta, 63, Los Ángeles, Madrid",10.257441673370877,16.200762388818298,5.924721189591078,2.0684620376378975
12,San Cristóbal,64.0,3,1.0,3,72000,0.0,1.0,1.0,0,"calle GODELLA, San Cristóbal, Madrid",3.837489943684634,6.060991105463787,2.216542750929368,0.7738481505515898
13,Villaverde,115.0,3,1.0,1,184900,0.0,1.0,1.0,0,"Los Rosales, Villaverde, Madrid",9.287208366854385,14.668360864040661,5.364312267657993,1.872809863724854
14,Villaverde,65.0,3,1.0,4,90000,0.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid",4.706355591311343,7.433290978398984,2.7184014869888475,0.9490590525632706
15,Villaverde,75.0,3,1.0,3,129900,1.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid",6.632341110217216,10.475222363405337,3.8308550185873607,1.337443218689163
16,Villaverde,60.0,2,1.0,0,94900,0.0,1.0,0.0,0,"San Cristóbal, Villaverde, Madrid",4.942880128720836,7.806861499364676,2.8550185873605947,0.9967553536664504
17,Villaverde,60.0,2,1.0,2,89900,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid",4.70152855993564,7.4256670902160105,2.7156133828996283,0.9480856586632057
18,Villaverde,95.0,4,2.0,4,144900,0.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid",7.356395816572808,11.618805590851334,4.24907063197026,1.483452303698897
19,Villaverde,76.0,3,1.0,2,110000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid",5.671761866452132,8.958068614993646,3.276022304832714,1.1437378325762493
20,San Andrés,75.0,3,1.0,3,138000,0.0,1.0,1.0,1,"COBALTO s/n, San Andrés, Madrid",7.0233306516492355,11.092757306226176,4.056691449814126,1.4162881245944192
